_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Causative Agent - 1,Causative Agent - 2
186,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A ((H1N1)pdm09),Coronavirus,2016-03-14,2016-04-05,N,2016,,
187,Extendicare Craiglee - 3rd Fl,102 Craiglee Dr,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-11,2016-03-22,N,2016,,
188,St. George Care Community,225 St George St,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-11,2016-03-21,N,2016,,
189,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-11,2016-03-21,N,2016,,
190,Revera Westside,1145 Albion Rd,LTCH,Respiratory,Respiratory syncytial virus,,2016-03-10,2016-03-29,N,2016,,
191,St. John's Rehabilitation Hospital - A2,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2016-03-09,2016-03-17,N,2016,,
192,Castleview Wychwood Towers - 4th Fl,351 Christie St,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-09,2016-03-19,N,2016,,
193,Extendicare Rouge Valley - Clarke House,551 Conlins Rd,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-09,2016-03-16,N,2016,,
194,"New Horizons Tower - Fls 2, 3, 5, 7, 11, 14 & 16",1140 Bloor St W,Retirement Home,Respiratory,Unable to identify,,2016-03-09,2016-03-28,N,2016,,
195,Salvation Army Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza B,Metapneumovirus,2016-03-09,2016-03-17,N,2016,,
196,Providence Healthcare - B4 West Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,,2016-03-07,2016-03-13,N,2016,,
197,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-07,2016-03-19,N,2016,,
198,Trilogy Long Term Care,340 McCowan Rd,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-07,2016-03-21,N,2016,,
199,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Unable to identify,,2016-03-07,2016-03-18,N,2016,,
200,Kensington Gardens North - 2 East,45 Brunswick Ave,LTCH,Enteric,Unable to identify,,2016-03-04,2016-03-21,N,2016,,
201,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,Parainfluenza virus,2016-03-04,2016-03-17,N,2016,,
202,Kennedy Lodge Nursing Home - 2nd & 3rd Fl,1400 Kennedy Rd,LTCH,Respiratory,Metapneumovirus,Respiratory syncytial virus,2016-03-04,2016-03-18,N,2016,,
203,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-02,2016-03-09,N,2016,,
204,The Wexford,1860 Lawrence Ave E,LTCH,Enteric,Unable to identify,,2016-03-02,2016-03-12,N,2016,,
205,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Respiratory syncytial virus,Coronavirus,2016-03-02,2016-03-31,N,2016,,
206,Sienna Living - Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Influenza A ((H1N1)pdm09),Influenza B,2016-03-01,2016-03-21,N,2016,,
207,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2016-02-29,2016-03-08,N,2016,,
208,Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Respiratory,Unable to identify,,2016-02-29,2016-03-09,N,2016,,
209,The Briton House Retirement Home,720 Mount Pleasant Rd,Retirement Home,Respiratory,Coronavirus,Respiratory syncytial virus,2016-02-29,2016-03-31,N,2016,,
210,Rouge Valley Health System - Centenary Site - 10 West,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2016-02-26,2016-02-29,N,2016,,
211,Toronto Western Hospital - 8A & 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-24,2016-03-06,N,2016,,
212,Main Street Terrace,77 Main St,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-24,2016-03-07,N,2016,,
213,Sunnybrook Health Sciences Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2016-02-24,2016-03-06,N,2016,,
214,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Influenza B,,2016-02-24,2016-03-15,N,2016,,
215,Toronto General Hospital - 5B,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza B,,2016-02-23,2016-03-07,N,2016,,
216,Bradgate Arms,54 Foxbar Rd,Retirement Home,Respiratory,Respiratory syncytial virus,,2016-02-22,2016-03-02,N,2016,,
217,St Clair O'Connor Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Respiratory,Rhinovirus,Respiratory syncytial virus,2016-02-22,2016-03-04,N,2016,,
218,Providence Healthcare - Houses Of Providence -,3276 St Clair Ave E - 2 West (Elm & Pine),LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-21,2016-02-25,N,2016,,
219,Eatonville Care Centre,420 The West Mall,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-18,2016-03-12,N,2016,,
220,Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,,2016-02-18,2016-03-05,N,2016,,
221,Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-17,2016-02-25,N,2016,,
222,Fudger House,439 Sherbourne St,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-17,2016-03-02,N,2016,,
223,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Respiratory syncytial virus,Coronavirus,2016-02-16,2016-03-02,N,2016,,
224,The Westbury,495 The West Mall,LTCH,Respiratory,Influenza A (H3),,2016-02-12,2016-02-24,N,2016,,
225,Mount Sinai Hospital - 10 South,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-09,2016-02-14,N,2016,,
226,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),"Coronavirus, Respiratory syncytial virus",2016-02-09,2016-02-23,N,2016,,
227,Mount Sinai Hospital - 10 North,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-08,2016-02-16,N,2016,,
228,West Park Long Term Care Centre - 1st Fl -,82 Buttonwood Ave - (Kingsway/Ilaaci unit),LTCH,Respiratory,Respiratory syncytial virus,,2016-02-08,2016-02-18,N,2016,,
229,West Park Healthcare Centre - 3EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-05,2016-02-19,N,2016,,
230,Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Enteric,Norovirus-like,,2016-02-05,2016-02-19,N,2016,,
231,Belmont House - 2 Walker Wing,55 Belmont St,LTCH,Respiratory,Respiratory syncytial virus,,2016-02-04,2016-02-16,N,2016,,
232,The Teddington Retirement Residence,4 Teddington Park Ave,Retirement Home,Respiratory,Parainfluenza type 1,,2016-02-04,2016-02-22,N,2016,,
233,Salvation Army Toronto Grace Health Centre - 2nd & 3rd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2016-02-03,2016-02-24,N,2016,,
234,Toronto Rehabilitation Institute - Bickle Centre - North 3,130 Dunn Ave,Hospital-Chronic Care,Respiratory,Influenza B,Rhinovirus,2016-02-03,2016-02-19,N,2016,,
235,Extendicare Bayview,550 Cummer Ave,LTCH,Enteric,Norovirus-like,,2016-02-02,2016-02-19,N,2016,,
236,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Influenza B,,2016-02-02,2016-02-08,N,2016,,
237,St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),Respiratory syncytial virus,2016-02-02,2016-02-15,N,2016,,
238,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-01,2016-02-18,N,2016,,
239,Castleview Wychwood Towers,351 Christie St,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-02-01,2016-02-15,N,2016,,
240,"Runnymede Healthcare Centre-2 East, 2 West, 4 East & 4 West",625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-01-28,2016-02-11,N,2016,,
241,Toronto Rehabilitation Institute - University Centre-8 South,550 University Ave,Hospital-Chronic Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-01-28,2016-02-05,N,2016,,
242,Holland Bloorview Kids Rehabilitation Hospital - 3W BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Enterovirus/Rhinovirus,2016-01-28,2016-02-08,N,2016,,
243,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),Respiratory syncytial virus,2016-01-28,2016-02-13,N,2016,,
244,Seven Oaks - 1st & 4th Fl,9 Nielson Rd,LTCH,Respiratory,Metapneumovirus,,2016-01-27,2016-02-07,N,2016,,
245,Salvation Army Toronto Grace Health Centre - PACR (unit 4),47 Austin Terrace,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2016-01-25,2016-02-07,N,2016,,
246,Wellesley Central Place,160 Wellesley St E,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-01-25,2016-02-03,N,2016,,
247,West Park Long Term Care Centre - 2nd Fl Weston/Mulholland,82 Buttonwood Ave,LTCH,Respiratory,Respiratory syncytial virus,,2016-01-25,2016-02-11,N,2016,,
248,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Respiratory syncytial virus,,2016-01-25,2016-02-05,N,2016,,
249,Eatonville Care Centre - 4th & 5th Fl,420 The East Mall,LTCH,Respiratory,Rhinovirus,,2016-01-22,2016-02-05,N,2016,,
250,Hellenic Care for Seniors,215 Tyrrel Ave,LTCH,Enteric,Norovirus-like,,2016-01-22,2016-02-01,N,2016,,
251,Valleyview Residence,541 Finch Ave W,LTCH,Enteric,Norovirus-like,,2016-01-20,2016-02-16,N,2016,,
252,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,"Coronavirus, Rhinovirus",2016-01-20,2016-02-19,N,2016,,
253,Chester Village,3555 Danforth Ave,LTCH,Respiratory,Influenza B,,2016-01-19,2016-02-03,N,2016,,
254,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2016-01-19,2016-01-27,N,2016,,
255,The O'Neill Centre,33 Christie St,LTCH,Enteric,Unable to identify,,2016-01-19,2016-01-25,N,2016,,
256,Isabel & Arthur Meighen Health Centre - 3rd Fl -,155 Millwood Rd -  (Lawrence & Fisher unit),LTCH,Respiratory,Influenza A (H3N2),,2016-01-15,2016-01-26,N,2016,,
257,Villa Colombo - 2nd Fl - Fusco Wing,40 Playfair Ave,LTCH,Enteric,Norovirus-like,,2016-01-14,2016-01-29,N,2016,,
258,Lakeshore Lodge - 3rd Fl,3197 Lakeshore Blvd W,LTCH,Enteric,Norovirus-like,,2016-01-13,2016-01-22,N,2016,,
259,"Midland Gardens Care Community - 3rd, 4th & 6th Fl",130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,,2016-01-11,2016-02-01,N,2016,,
260,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-01-11,2016-01-18,N,2016,,
261,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Coronavirus,Metapneumovirus,2016-01-11,2016-01-26,N,2016,,
262,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Rhinovirus,,2016-01-08,2016-02-09,N,2016,,
263,West Park Long Term Care Centre - 3rd Fl -Glenwyld & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Coronavirus,,2016-01-08,2016-01-21,N,2016,,
264,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Coronavirus,,2016-01-07,2016-01-18,N,2016,,
265,Elm Grove Living Centre - 1st & 3rd Fl,35 Elm Grove Ave,LTCH,Respiratory,Coronavirus,,2016-01-06,2016-01-15,N,2016,,
266,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Enteric,Norovirus-like,,2016-01-04,2016-01-25,N,2016,,
267,The Heritage Nursing Home,1195 Queen St E,LTCH,Enteric,Norovirus-like,,2016-01-04,2016-01-18,N,2016,,
268,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,Metapneumovirus,,2016-01-03,2016-01-21,N,2016,,
1,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,12/29/2017,1/10/2018,N,2017,,
2,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Unable to identify,,12/29/2017,1/26/2018,N,2017,,
3,Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,,12/29/2017,1/8/2018,N,2017,,
4,Greenview Lodge Retirement Home,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A (H3),Metapneumovirus,12/29/2017,1/15/2018,N,2017,,
5,Toronto General Hospital - 8 Eaton South,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,12/28/2017,1/5/2018,N,2017,,
6,Baycrest Hospital - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),,12/27/2017,1/5/2018,N,2017,,
7,William Osler Health System - 10th Fl Medicine/Respiratory,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,12/26/2017,1/2/2018,N,2017,,
8,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-2,Hospital-Psychiatric,Respiratory,Influenza A (H3),,12/26/2017,1/10/2018,N,2017,,
9,Leaside Retirement Residence - Building 10,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A (H3),Influenza B,12/25/2017,1/9/2018,N,2017,,
10,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,12/25/2017,1/3/2018,N,2017,,
11,Castleview Wychwood Tower - 5th Fl,351 Christie St,LTCH,Respiratory,Unable to identify,,12/24/2017,1/5/2018,N,2017,,
12,Chartwell Trilogy Long Term Care Residence - 3rd Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,,12/24/2017,1/2/2018,N,2017,,
13,Sunnybrook Health Sciences Centre - K3E,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,12/22/2017,12/30/2017,N,2017,,
14,"St. Hilda's Towers - Dufferin Tower - MED, RIU & TCP",2339 Dufferin St,Retirement Home,Enteric,Unable to identify,,12/22/2017,12/28/2017,N,2017,,
15,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),,12/22/2017,12/30/2017,N,2017,,
16,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,,12/21/2017,1/13/2018,N,2017,,
17,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-3 LGUB,Hospital-Psychiatric,Respiratory,Unable to identify,,12/21/2017,12/30/2017,N,2017,,
18,Baycrest Hospital - 7 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (H3),,12/20/2017,1/3/2018,N,2017,,
19,Sunnybrook Health Sciences Centre - CrCU,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,,12/20/2017,5/1/2018,N,2017,,
20,Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Norovirus-like,,12/20/2017,1/3/2018,N,2017,,
21,Living Life on the Avenue Retirement Residence,1066 Avenue Rd,Retirement Home,Respiratory,Influenza B,,12/19/2017,1/2/2018,N,2017,,
22,Better Living at Thompson House,1 Overland Dr,LTCH,Enteric,Norovirus-like,,12/19/2017,1/29/2018,N,2017,,
23,Bridgepoint Active Healthcare - 7 North & 6 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Unable to identify,,12/18/2017,12/28/2017,N,2017,,
24,Valleyview Residence - 3 East,541 Finch Ave W,LTCH,Respiratory,Influenza A (Not subtyped),,12/18/2017,12/27/2017,N,2017,,
25,New Horizons Tower,1140 Bloor St W,Retirement Home,Enteric,Norovirus-like,,12/18/2017,1/9/2018,N,2017,,
26,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A (H3),,12/18/2017,12/31/2017,N,2017,,
27,Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Respiratory syncytial virus,,12/18/2017,1/5/2018,N,2017,,
28,Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Unable to identify,,12/15/2017,12/27/2017,N,2017,,
29,William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (H3),Respiratory syncytial virus,12/15/2017,12/29/2017,N,2017,,
30,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza B,,12/14/2017,12/23/2017,N,2017,,
31,St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),,12/14/2017,12/23/2017,N,2017,,
32,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Unable to identify,,12/14/2017,12/22/2017,N,2017,,
33,Fieldstone Commons Care Community - 4A & 4B,1000 Ellesmere Rd,LTCH,Enteric,Norovirus-like,,12/13/2017,1/11/2018,N,2017,,
34,St. Hilda's Towers - RIU,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,,12/13/2017,12/19/2017,N,2017,,
35,Sunnybrook Health Sciences Centre - LSSE & LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,12/12/2017,12/27/2017,N,2017,,
36,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,12/11/2017,1/5/2018,N,2017,,
37,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Influenza A (H3),Parainfluenza virus,12/11/2017,1/2/2018,N,2017,,
38,Centre for Addiction and Mental Health - Queen Site,1001 Queen St W - 80 Workman Way - 3rd Fl,Hospital-Psychiatric,Enteric,Unable to identify,,12/11/2017,12/18/2017,N,2017,,
39,The Hospital for Sick Children - 7D,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,,12/11/2017,12/18/2017,N,2017,,
40,Centre for Addiction and Mental Health - Unit 5,250 College St,Hospital-Psychiatric,Enteric,Unable to identify,,12/10/2017,12/18/2017,N,2017,,
41,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Unable to identify,,12/8/2017,12/18/2017,N,2017,,
42,North York General Hospital - Seniors' Health Centre- 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Unable to identify,,12/8/2017,12/26/2017,N,2017,,
43,Yee Hong Centre For Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 4th Fl,LTCH,Enteric,Norovirus-like,,12/8/2017,12/20/2017,N,2017,,
44,Sunnybrook Health Sciences Centre - D4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,,12/8/2017,12/21/2017,N,2017,,
45,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza type 2,,12/7/2017,12/14/2017,N,2017,,
46,Bridgepoint Active Healthcare - 9 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,12/7/2017,12/14/2017,N,2017,,
47,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Influenza B,,12/6/2017,12/14/2017,N,2017,,
48,The Wexford Residence - 5th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,,12/6/2017,12/15/2017,N,2017,,
49,Baycrest Apotex Centre - 7RF,3560 Bathurst St,LTCH,Respiratory,Parainfluenza type 4,,12/5/2017,12/14/2017,N,2017,,
50,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,,12/4/2017,12/20/2017,N,2017,,
51,Sunnybrook Health Sciences Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,12/3/2017,12/17/2017,N,2017,,
52,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Norovirus-like,,12/1/2017,12/15/2017,N,2017,,
53,St. Michael's Hospital - 4 Donnelly - Palliative Care,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),,12/1/2017,12/9/2017,N,2017,,
54,St. Hilda's Towers - Vaughan Tower - Medical Unit,2239 Dufferin St,Retirement Home,Enteric,Norovirus-like,,11/30/2017,12/8/2017,N,2017,,
55,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,11/30/2017,12/11/2017,N,2017,,
56,Chartwell Gibson Long Term Care - Units 2 & 3,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (H3),,11/29/2017,12/15/2017,N,2017,,
57,Harold and Grace Retirement Residence - 4th & 6th Fl,1 Northwestern Ave,Retirement Home,Enteric,Unable to identify,,11/24/2017,12/4/2017,N,2017,,
58,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,,11/23/2017,12/2/2017,N,2017,,
59,Harold and Grace Baker Centre,1 Northwestern Ave,LTCH,Enteric,Norovirus-like,,11/23/2017,12/4/2017,N,2017,,
60,Mon Sheong Scarborough Long Term Care - Ground Fl,2030 McNicoll Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,11/21/2017,11/29/2017,N,2017,,
61,Bendale Acres - 2 East Unit & 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3N2),Parainfluenza type 1,11/20/2017,12/5/2017,N,2017,,
62,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Influenza B,,11/20/2017,12/5/2017,N,2017,,
63,Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,11/15/2017,11/24/2017,N,2017,,
64,Vermont Square - 4th Fl,914 Bathurst St,LTCH,Respiratory,Respiratory syncytial virus,,11/14/2017,11/30/2017,N,2017,,
65,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Enteric,Unable to identify,,11/3/2017,11/20/2017,N,2017,,
66,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,,11/3/2017,11/11/2017,N,2017,,
67,Extendicare Craiglee - 1 West,102 Craiglee Dr,LTCH,Respiratory,Influenza A (H3),,11/2/2017,12/3/2017,N,2017,,
68,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Enteric,Norovirus-like,,11/1/2017,11/13/2017,N,2017,,
69,Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,Parainfluenza Type 1,,11/1/2017,11/10/2017,N,2017,,
70,"Rockcliffe Care Community - 1st, 2nd & 3rd Fl",3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,10/31/2017,11/23/2017,N,2017,,
71,147 Elder Street,147 Elder St,Retirement Home,Respiratory,Unable to identify,,10/31/2017,11/16/2017,N,2017,,
72,"True Davidson Acres - 1 West, 2 East & 2 West",200 Dawes Rd,LTCH,Enteric,Norovirus-like,,10/31/2017,11/8/2017,N,2017,,
73,Kensington Gardens - North Building - 1 East,45 Brunswick Ave,LTCH,Respiratory,Unable to identify,,10/27/2017,11/5/2017,N,2017,,
74,Yee Hong Centre for Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 2nd Fl,LTCH,Respiratory,Unable to identify,,10/19/2017,10/28/2017,N,2017,,
75,Vermont Square - 3rd Fl,914 Bathurst St,LTCH,Respiratory,Unable to identify,,10/17/2017,11/6/2017,N,2017,,
